datetime,traffic_volume,avg_speed,weather,temperature,rain_intensity,event,accident,vehicle_type,hour,day_of_week,congestion_level,location_id
2017-05-18 00:00:00,232.0,56.8,Rain,285.15,0.0,0,0,car,0,3,Medium,1
2017-05-18 00:00:00,221.0,57.9,Mist,285.15,0.0,0,0,bike,0,3,Medium,1
2017-05-18 00:00:00,220.0,58.0,Drizzle,285.15,0.0,0,0,bike,0,3,Medium,1
2017-05-18 01:00:00,205.0,59.5,Rain,284.79,0.0,0,0,car,1,3,Medium,1
2017-05-18 01:00:00,213.0,58.7,Mist,284.79,0.0,0,0,bus,1,3,Medium,1
2017-05-18 02:00:00,248.0,55.2,Rain,284.29,0.0,0,0,bus,2,3,Medium,1
2017-05-18 02:00:00,214.0,58.599999999999994,Mist,284.29,0.0,0,0,bus,2,3,Medium,1
2017-05-18 02:00:00,250.0,55.0,Drizzle,284.29,0.0,0,0,bike,2,3,Medium,1
2017-05-18 03:00:00,238.0,56.2,Rain,283.51,0.0,0,0,car,3,3,Medium,1
2017-05-18 03:00:00,267.0,53.3,Mist,283.51,0.0,0,0,bus,3,3,Medium,1
2017-05-18 03:00:00,242.0,55.8,Drizzle,283.51,0.0,0,0,car,3,3,Medium,1
2017-05-18 04:00:00,256.0,54.4,Rain,283.09,0.0,0,0,bus,4,3,Medium,1
2017-05-18 04:00:00,254.0,54.599999999999994,Mist,283.09,0.0,0,0,bike,4,3,Medium,1
2017-05-18 04:00:00,280.0,52.0,Drizzle,283.09,0.0,0,0,bus,4,3,Medium,1
2017-05-18 05:00:00,254.0,54.599999999999994,Rain,282.55,0.0,0,0,bus,5,3,Medium,1
2017-05-18 05:00:00,285.0,51.5,Mist,282.55,0.0,0,0,car,5,3,Medium,1
2017-05-18 05:00:00,235.0,56.5,Drizzle,282.55,0.0,0,0,car,5,3,Medium,1
2017-05-18 06:00:00,280.0,52.0,Rain,282.01,0.0,0,0,bus,6,3,Medium,1
2017-05-18 06:00:00,248.0,55.2,Drizzle,282.01,0.0,0,0,bike,6,3,Medium,1
2017-05-18 07:00:00,283.0,51.7,Rain,281.77,0.0,0,0,car,7,3,Medium,1
2017-05-18 07:00:00,278.0,52.2,Drizzle,281.77,0.0,0,0,car,7,3,Medium,1
2017-05-18 08:00:00,267.0,53.3,Rain,281.83,0.0,1,0,bike,8,3,Medium,1
2017-05-18 08:00:00,321.0,47.9,Drizzle,281.83,0.0,1,0,bike,8,3,Medium,1
2017-05-18 08:00:00,314.0,48.599999999999994,Mist,281.83,0.0,1,0,bike,8,3,Medium,1
2017-05-18 09:00:00,316.0,48.4,Rain,282.27,0.0,1,0,bus,9,3,Medium,1
2017-05-18 09:00:00,316.0,48.4,Mist,282.27,0.0,1,0,bus,9,3,Medium,1
